certification_number,title,attributes.trait_type,attributes.value
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2002
,,Brand,POKEMON LEGENDARY COLLECTION
,,Sport,TCG Cards
,,Card Number,37
,,Player,CHARMELEON-REV.FOIL
,,Variety/Pedigree,LEGENDARY COLLECTION
,,Grade,GEM MT 10
,,PSA Price Guide Value,"$1,000"
,,Edition,1
43722377,2003 Pokemon EX Ruby & Sapphire 99 Lapras EX Holo PSA 7 NM,Certification Number,43722377
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2003
,,Brand,POKEMON EX RUBY & SAPPHIRE
,,Sport,TCG Cards
,,Card Number,99
,,Player,LAPRAS EX-HOLO
,,Variety/Pedigree,RUBY & SAPPHIRE
,,Grade,NM 7
,,Date,Price
,,6/21/2021,$63.00
,,12/1/2020,$53.06
,,10/8/2020,$64.00
,,7/26/2020,$38.00
,,Edition,1
47455986,1999 Pokemon Fossil 1st Edition 8 Hypno Holo PSA 9 Mint,Certification Number,47455986
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON FOSSIL
,,Sport,TCG Cards
,,Card Number,8
,,Player,HYPNO-HOLO
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,$40
,,Date,Price
,,1/9/2021,$137.50
,,12/30/2020,$155.00
,,Edition,1
48039776,2019 Pokemon Japanese SM Promo Lmtd Coll Master Btl Set 400 FA/Pikachu PSA 10 Gem Mint,Certification Number,48039776
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2019
,,Brand,POKEMON JAPANESE SM PROMO
,,Sport,TCG Cards
,,Card Number,400
,,Player,FA/PIKACHU
,,Variety/Pedigree,LMTD.COLL.MASTER BTL.SET
,,Grade,GEM MT 10
,,Edition,1
48518610,1997 Pokemon Japanese Jungle 71 Victreebel Holo PSA 10 Gem Mint,Certification Number,48518610
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1997
,,Brand,POKEMON JAPANESE JUNGLE
,,Sport,TCG Cards
,,Card Number,71
,,Player,VICTREEBEL-HOLO
,,Variety/Pedigree,
,,Grade,GEM MT 10
,,PSA Price Guide Value,$150
,,Edition,1
49180613,2000 Pokemon Japanese Neo Premium File 160 Feraligatr Holo PSA 9 Mint,Certification Number,49180613
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON JAPANESE NEO
,,Sport,TCG Cards
,,Card Number,160
,,Player,FERALIGATR-HOLO
,,Variety/Pedigree,PREMIUM FILE
,,Grade,MINT 9
,,Edition,1
51348155,2000 Pokemon Gym Challenge 1st Edition 23 Giovanni's Nidoqueen PSA 10 Gem Mint,Certification Number,51348155
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON GYM CHALLENGE
,,Sport,TCG Cards
,,Card Number,23
,,Player,GIOVANNI'S NIDOQUEEN
,,Variety/Pedigree,1ST EDITION
,,Grade,GEM MT 10
,,PSA Price Guide Value,$80
,,Date,Price
,,11/7/2021,$91.00
,,Edition,1
52986750,2000 Pokemon Promo Black Star League 9 Mew Holo PSA 8 NM-MT,Certification Number,52986750
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON PROMO BLACK STAR
,,Sport,TCG Cards
,,Card Number,9
,,Player,MEW-HOLO
,,Variety/Pedigree,PROMO-POKEMON LEAGUE
,,Grade,NM-MT 8
,,PSA Price Guide Value,$35
,,Edition,1
52986755,1999 Pokemon Jungle No Symbol 3 Flareon Holo PSA 8 NM-MT,Certification Number,52986755
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON JUNGLE
,,Sport,TCG Cards
,,Card Number,3
,,Player,FLAREON-HOLO
,,Variety/Pedigree,NO SYMBOL
,,Grade,NM-MT 8
,,PSA Price Guide Value,$70
,,Edition,1
52986756,1999 Pokemon Jungle 7 Nidoqueen Holo PSA 8 NM-MT,Certification Number,52986756
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON JUNGLE
,,Sport,TCG Cards
,,Card Number,7
,,Player,NIDOQUEEN-HOLO
,,Variety/Pedigree,
,,Grade,NM-MT 8
,,Edition,1
52986758,1999 Pokemon Game 11 Nidoking Holo PSA 8 NM-MT,Certification Number,52986758
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON GAME
,,Sport,TCG Cards
,,Card Number,11
,,Player,NIDOKING-HOLO
,,Variety/Pedigree,
,,Grade,NM-MT 8
,,PSA Price Guide Value,$60
,,Edition,1
52986759,1999 Pokemon Game 11 Nidoking Holo PSA 8 NM-MT,Certification Number,52986759
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON GAME
,,Sport,TCG Cards
,,Card Number,11
,,Player,NIDOKING-HOLO
,,Variety/Pedigree,
,,Grade,NM-MT 8
,,PSA Price Guide Value,$60
,,Edition,1
52986762,2000 Pokemon Gym Challenge Holo 10 Koga's Ditto PSA 8 NM-MT,Certification Number,52986762
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON GYM CHALLENGE
,,Sport,TCG Cards
,,Card Number,10
,,Player,KOGA'S DITTO
,,Variety/Pedigree,HOLO
,,Grade,NM-MT 8
,,Edition,1
52986773,1999 Pokemon Fossil 12 Moltres Holo PSA 8 NM-MT,Certification Number,52986773
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON FOSSIL
,,Sport,TCG Cards
,,Card Number,12
,,Player,MOLTRES-HOLO
,,Variety/Pedigree,
,,Grade,NM-MT 8
,,Edition,1
52986774,1999 Pokemon Fossil 12 Moltres Holo PSA 8 NM-MT,Certification Number,52986774
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON FOSSIL
,,Sport,TCG Cards
,,Card Number,12
,,Player,MOLTRES-HOLO
,,Variety/Pedigree,
,,Grade,NM-MT 8
,,Edition,1
52986787,1999 Pokemon Fossil 10 Lapras Holo PSA 8 NM-MT,Certification Number,52986787
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON FOSSIL
,,Sport,TCG Cards
,,Card Number,10
,,Player,LAPRAS-HOLO
,,Variety/Pedigree,
,,Grade,NM-MT 8
,,Edition,1
52986789,1999 Pokemon Jungle No Symbol 9 Pinsir Holo PSA 8 NM-MT,Certification Number,52986789
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON JUNGLE
,,Sport,TCG Cards
,,Card Number,9
,,Player,PINSIR-HOLO
,,Variety/Pedigree,NO SYMBOL
,,Grade,NM-MT 8
,,PSA Price Guide Value,$50
,,Edition,1
52986790,2000 Pokemon Game Base II 17 Scyther Holo PSA 9 Mint,Certification Number,52986790
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON GAME BASE II
,,Sport,TCG Cards
,,Card Number,17
,,Player,SCYTHER-HOLO
,,Variety/Pedigree,BASE II
,,Grade,MINT 9
,,PSA Price Guide Value,$70
,,Edition,1
52986798,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box 050 Charizard V PSA 10 Gem Mint,Certification Number,52986798
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWSH BLACK STAR PROMO
,,Sport,TCG Cards
,,Card Number,050
,,Player,CHARIZARD V
,,Variety/Pedigree,CHMPN.PATH ELITE TRNR.BOX
,,Grade,GEM MT 10
,,Edition,1
52986799,2020 Pokemon Sword & Shield Champions Path 070 FA/Gardevoir V PSA 10 Gem Mint,Certification Number,52986799
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWORD & SHIELD CHAMPION'S PATH
,,Sport,TCG Cards
,,Card Number,070
,,Player,FA/GARDEVOIR V
,,Variety/Pedigree,CHAMPION'S PATH
,,Grade,GEM MT 10
,,PSA Price Guide Value,$60
,,Edition,1
52986801,2020 Pokemon Sword & Shield Rebel Clash Secret 193 FA/Rillaboom Vmax PSA 10 Gem Mint,Certification Number,52986801
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWORD & SHIELD REBEL CLASH
,,Sport,TCG Cards
,,Card Number,193
,,Player,FA/RILLABOOM VMAX
,,Variety/Pedigree,REBEL CLASH-SECRET
,,Grade,GEM MT 10
,,PSA Price Guide Value,$60
,,Edition,1
52986802,2020 Pokemon Sword & Shield Rebel Clash Secret 196 FA/Toxtricity Vmax PSA 10 Gem Mint,Certification Number,52986802
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWORD & SHIELD REBEL CLASH
,,Sport,TCG Cards
,,Card Number,196
,,Player,FA/TOXTRICITY VMAX
,,Variety/Pedigree,REBEL CLASH-SECRET
,,Grade,GEM MT 10
,,PSA Price Guide Value,$80
,,Edition,1
52986803,2020 Pokemon Sword & Shield Rebel Clash Secret 198 FA/Malamar Vmax PSA 10 Gem Mint,Certification Number,52986803
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWORD & SHIELD REBEL CLASH
,,Sport,TCG Cards
,,Card Number,198
,,Player,FA/MALAMAR VMAX
,,Variety/Pedigree,REBEL CLASH-SECRET
,,Grade,GEM MT 10
,,PSA Price Guide Value,$50
,,Edition,1
52986804,2020 Pokemon Sword & Shield Darkness Ablaze Secret 191 FA/Centiskorch Vmax PSA 10 Gem Mint,Certification Number,52986804
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWORD & SHIELD DARKNESS ABLAZE
,,Sport,TCG Cards
,,Card Number,191
,,Player,FA/CENTISKORCH VMAX
,,Variety/Pedigree,DARKNESS ABLAZE-SECRET
,,Grade,GEM MT 10
,,PSA Price Guide Value,$60
,,Edition,1
52986805,2020 Pokemon Sword & Shield Darkness Ablaze Secret 192 FA/Eternatus Vmax PSA 10 Gem Mint,Certification Number,52986805
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWORD & SHIELD DARKNESS ABLAZE
,,Sport,TCG Cards
,,Card Number,192
,,Player,FA/ETERNATUS VMAX
,,Variety/Pedigree,DARKNESS ABLAZE-SECRET
,,Grade,GEM MT 10
,,PSA Price Guide Value,$80
,,Edition,1
52986808,2020 Pokemon Sword & Shield Darkness Ablaze Secret 195 FA/Pkmn.brdr's.nrtrg. PSA 10 Gem Mint,Certification Number,52986808
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWORD & SHIELD DARKNESS ABLAZE
,,Sport,TCG Cards
,,Card Number,195
,,Player,FA/PKMN.BRDR'S.NRTRG.
,,Variety/Pedigree,DARKNESS ABLAZE-SECRET
,,Grade,GEM MT 10
,,PSA Price Guide Value,$70
,,Edition,1
52986809,2020 Pokemon Sword & Shield Rebel Clash Secret 202 FA/Oleana PSA 10 Gem Mint,Certification Number,52986809
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWORD & SHIELD REBEL CLASH
,,Sport,TCG Cards
,,Card Number,202
,,Player,FA/OLEANA
,,Variety/Pedigree,REBEL CLASH-SECRET
,,Grade,GEM MT 10
,,PSA Price Guide Value,$85
,,Edition,1
52986810,2019 Pokemon Sun & Moon Cosmic Eclipse Secret 250 FA/Vileplume GX PSA 10 Gem Mint,Certification Number,52986810
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2019
,,Brand,POKEMON SUN & MOON COSMIC ECLIPSE
,,Sport,TCG Cards
,,Card Number,250
,,Player,FA/VILEPLUME GX
,,Variety/Pedigree,COSMIC ECLIPSE-SECRET
,,Grade,GEM MT 10
,,PSA Price Guide Value,$60
,,Edition,1
52986811,2017 Pokemon Sun & Moon Secret 152 FA/Espeon GX PSA 9 Mint,Certification Number,52986811
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2017
,,Brand,POKEMON SUN & MOON
,,Sport,TCG Cards
,,Card Number,152
,,Player,FA/ESPEON GX
,,Variety/Pedigree,SECRET
,,Grade,MINT 9
,,PSA Price Guide Value,$40
,,Edition,1
52986812,2019 Pokemon Sun & Moon Hidden Fates FA SV53 Alolan Ninetales GX PSA 10 Gem Mint,Certification Number,52986812
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2019
,,Brand,POKEMON SUN & MOON HIDDEN FATES
,,Sport,TCG Cards
,,Card Number,SV53
,,Player,ALOLAN NINETALES GX
,,Variety/Pedigree,HIDDEN FATES-FA
,,Grade,GEM MT 10
,,PSA Price Guide Value,$45
,,Edition,1
52986813,2019 Pokemon Sun & Moon Hidden Fates SV77 FA/Altaria GX PSA 10 Gem Mint,Certification Number,52986813
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2019
,,Brand,POKEMON SUN & MOON HIDDEN FATES
,,Sport,TCG Cards
,,Card Number,SV77
,,Player,FA/ALTARIA GX
,,Variety/Pedigree,HIDDEN FATES
,,Grade,GEM MT 10
,,PSA Price Guide Value,$40
,,Edition,1
52986814,2019 Pokemon Sun & Moon Hidden Fates SV70 FA/Darkrai GX PSA 10 Gem Mint,Certification Number,52986814
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2019
,,Brand,POKEMON SUN & MOON HIDDEN FATES
,,Sport,TCG Cards
,,Card Number,SV70
,,Player,FA/DARKRAI GX
,,Variety/Pedigree,HIDDEN FATES
,,Grade,GEM MT 10
,,PSA Price Guide Value,$70
,,Edition,1
52986816,2019 Pokemon Sun & Moon Hidden Fates SV64 FA/Lucario GX PSA 10 Gem Mint,Certification Number,52986816
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2019
,,Brand,POKEMON SUN & MOON HIDDEN FATES
,,Sport,TCG Cards
,,Card Number,SV64
,,Player,FA/LUCARIO GX
,,Variety/Pedigree,HIDDEN FATES
,,Grade,GEM MT 10
,,PSA Price Guide Value,$60
,,Edition,1
52986817,2019 Pokemon Sun & Moon Hidden Fates SV46 FA/Leafeon GX PSA 9 Mint,Certification Number,52986817
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2019
,,Brand,POKEMON SUN & MOON HIDDEN FATES
,,Sport,TCG Cards
,,Card Number,SV46
,,Player,FA/LEAFEON GX
,,Variety/Pedigree,HIDDEN FATES
,,Grade,MINT 9
,,PSA Price Guide Value,$40
,,Edition,1
52986818,2019 Pokemon Sun & Moon Hidden Fates SV72 FA/Scizor GX PSA 10 Gem Mint,Certification Number,52986818
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2019
,,Brand,POKEMON SUN & MOON HIDDEN FATES
,,Sport,TCG Cards
,,Card Number,SV72
,,Player,FA/SCIZOR GX
,,Variety/Pedigree,HIDDEN FATES
,,Grade,GEM MT 10
,,PSA Price Guide Value,$65
,,Edition,1
52986819,2019 Pokemon Sun & Moon Hidden Fates SV78 FA/Noivern GX PSA 10 Gem Mint,Certification Number,52986819
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2019
,,Brand,POKEMON SUN & MOON HIDDEN FATES
,,Sport,TCG Cards
,,Card Number,SV78
,,Player,FA/NOIVERN GX
,,Variety/Pedigree,HIDDEN FATES
,,Grade,GEM MT 10
,,PSA Price Guide Value,$35
,,Edition,1
52986820,2017 Pokemon Sun & Moon 142 FA/Umbreon GX PSA 10 Gem Mint,Certification Number,52986820
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2017
,,Brand,POKEMON SUN & MOON
,,Sport,TCG Cards
,,Card Number,142
,,Player,FA/UMBREON GX
,,Variety/Pedigree,
,,Grade,GEM MT 10
,,PSA Price Guide Value,$150
,,Edition,1
52986821,2017 Pokemon Sun & Moon Guardians Rising 140 FA/Sylveon GX PSA 10 Gem Mint,Certification Number,52986821
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2017
,,Brand,POKEMON SUN & MOON GUARDIANS RISING
,,Sport,TCG Cards
,,Card Number,140
,,Player,FA/SYLVEON GX
,,Variety/Pedigree,GUARDIANS RISING
,,Grade,GEM MT 10
,,PSA Price Guide Value,$100
,,Edition,1
52986822,2019 Pokemon SM Black Star Promo Prm Pikachu Eevee Spc Cl SM233 FA/Eevee GX PSA 10 Gem Mint,Certification Number,52986822
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2019
,,Brand,POKEMON SM BLACK STAR PROMO
,,Sport,TCG Cards
,,Card Number,SM233
,,Player,FA/EEVEE GX
,,Variety/Pedigree,PRM-PIKACHU/EEVEE-SPC.CL.
,,Grade,GEM MT 10
,,Edition,1
52986824,2020 Pokemon Sword & Shield Darkness Ablaze Secret 197 FA/Rillaboom PSA 10 Gem Mint,Certification Number,52986824
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWORD & SHIELD DARKNESS ABLAZE
,,Sport,TCG Cards
,,Card Number,197
,,Player,FA/RILLABOOM
,,Variety/Pedigree,DARKNESS ABLAZE-SECRET
,,Grade,GEM MT 10
,,PSA Price Guide Value,$50
,,Edition,1
52986825,2020 Pokemon Sword & Shield Darkness Ablaze Secret 198 FA/Coalossal PSA 10 Gem Mint,Certification Number,52986825
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWORD & SHIELD DARKNESS ABLAZE
,,Sport,TCG Cards
,,Card Number,198
,,Player,FA/COALOSSAL
,,Variety/Pedigree,DARKNESS ABLAZE-SECRET
,,Grade,GEM MT 10
,,PSA Price Guide Value,$60
,,Edition,1
52986831,2019 Pokemon Sun & Moon Unified Minds FA 221 Raichu/Aln.raichu GX PSA 9 Mint,Certification Number,52986831
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2019
,,Brand,POKEMON SUN & MOON UNIFIED MINDS
,,Sport,TCG Cards
,,Card Number,221
,,Player,RAICHU/ALN.RAICHU GX
,,Variety/Pedigree,UNIFIED MINDS-FA
,,Grade,MINT 9
,,PSA Price Guide Value,$70
,,Edition,1
52986833,2016 Pokemon XY Evolutions 102 FA/M Blastoise EX PSA 10 Gem Mint,Certification Number,52986833
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2016
,,Brand,POKEMON XY EVOLUTIONS
,,Sport,TCG Cards
,,Card Number,102
,,Player,FA/M BLASTOISE EX
,,Variety/Pedigree,EVOLUTIONS
,,Grade,GEM MT 10
,,PSA Price Guide Value,$75
,,Edition,1
52987377,1999 Pokemon Jungle No Symbol 5 Kangaskhan Holo PSA 9 Mint,Certification Number,52987377
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON JUNGLE
,,Sport,TCG Cards
,,Card Number,5
,,Player,KANGASKHAN-HOLO
,,Variety/Pedigree,NO SYMBOL
,,Grade,MINT 9
,,PSA Price Guide Value,$150
,,Edition,1
52987379,1997 Pokemon Japanese Fossil 132 Ditto Holo PSA 9 Mint,Certification Number,52987379
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1997
,,Brand,POKEMON JAPANESE FOSSIL
,,Sport,TCG Cards
,,Card Number,132
,,Player,DITTO-HOLO
,,Variety/Pedigree,
,,Grade,MINT 9
,,PSA Price Guide Value,$70
,,Edition,1
52987380,1999 Pokemon Fossil 4 Dragonite Holo PSA 8 NM-MT,Certification Number,52987380
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON FOSSIL
,,Sport,TCG Cards
,,Card Number,4
,,Player,DRAGONITE-HOLO
,,Variety/Pedigree,
,,Grade,NM-MT 8
,,Edition,1
52987384,1996 Pokemon Japanese Basic 107 Hitmonchan Holo PSA 9 Mint,Certification Number,52987384
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1996
,,Brand,POKEMON JAPANESE BASIC
,,Sport,TCG Cards
,,Card Number,107
,,Player,HITMONCHAN-HOLO
,,Variety/Pedigree,
,,Grade,MINT 9
,,Edition,1
52987385,1999 Pokemon Game 10 Mewtwo Holo PSA 8 NM-MT,Certification Number,52987385
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON GAME
,,Sport,TCG Cards
,,Card Number,10
,,Player,MEWTWO-HOLO
,,Variety/Pedigree,
,,Grade,NM-MT 8
,,PSA Price Guide Value,$90
,,Edition,1
52987386,2000 Pokemon 2 Player CD Rom Starter Set 1st Ed Cosmos Holofoil 8 Machamp Holo PSA 8 NM-MT,Certification Number,52987386
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2000
,,Brand,POKEMON 2-PLAYER CD-ROM STARTER SET
,,Sport,TCG Cards
,,Card Number,8
,,Player,MACHAMP-HOLO
,,Variety/Pedigree,1ST ED.-COSMOS HOLOFOIL
,,Grade,NM-MT 8
,,Edition,1
52987387,1999 Pokemon Game 1st Edition 8 Machamp Holo PSA 9 Mint,Certification Number,52987387
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON GAME
,,Sport,TCG Cards
,,Card Number,8
,,Player,MACHAMP-HOLO
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,Edition,1
52987388,1996 Pokemon Japanese Basic 68 Machamp Holo PSA 9 Mint,Certification Number,52987388
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1996
,,Brand,POKEMON JAPANESE BASIC
,,Sport,TCG Cards
,,Card Number,68
,,Player,MACHAMP-HOLO
,,Variety/Pedigree,
,,Grade,MINT 9
,,Edition,1
52987389,1999 Pokemon Jungle 1st Ed W Stp Dlst Promo 60 Pikachu PSA 8 NM-MT,Certification Number,52987389
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON JUNGLE
,,Sport,TCG Cards
,,Card Number,60
,,Player,PIKACHU
,,Variety/Pedigree,1ST ED.W STP.DLST.PROMO
,,Grade,NM-MT 8
,,Edition,1
52987390,1999 Pokemon Jungle No Symbol 6 Mr. Mime Holo PSA 8 NM-MT,Certification Number,52987390
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON JUNGLE
,,Sport,TCG Cards
,,Card Number,6
,,Player,MR. MIME-HOLO
,,Variety/Pedigree,NO SYMBOL
,,Grade,NM-MT 8
,,PSA Price Guide Value,$50
,,Edition,1
52987391,1999 Pokemon Jungle No Symbol 8 Pidgeot Holo PSA 9 Mint,Certification Number,52987391
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON JUNGLE
,,Sport,TCG Cards
,,Card Number,8
,,Player,PIDGEOT-HOLO
,,Variety/Pedigree,NO SYMBOL
,,Grade,MINT 9
,,PSA Price Guide Value,$150
,,Edition,1
52987392,1999 Pokemon Game 13 Poliwrath Holo PSA 9 Mint,Certification Number,52987392
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON GAME
,,Sport,TCG Cards
,,Card Number,13
,,Player,POLIWRATH-HOLO
,,Variety/Pedigree,
,,Grade,MINT 9
,,PSA Price Guide Value,$100
,,Edition,1
52987393,1999 Pokemon Game 13 Poliwrath Holo PSA 9 Mint,Certification Number,52987393
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON GAME
,,Sport,TCG Cards
,,Card Number,13
,,Player,POLIWRATH-HOLO
,,Variety/Pedigree,
,,Grade,MINT 9
,,PSA Price Guide Value,$100
,,Edition,1
52987394,1999 Pokemon Game 1 Alakazam Holo PSA 8 NM-MT,Certification Number,52987394
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,POKEMON GAME
,,Sport,TCG Cards
,,Card Number,1
,,Player,ALAKAZAM-HOLO
,,Variety/Pedigree,
,,Grade,NM-MT 8
,,PSA Price Guide Value,$100
,,Edition,1
52987395,2000 Pokemon Game Base II 1 Alakazam Holo PSA 8 NM-MT,Certification Number,52987395
,,Label Type, with fugitive ink technology
